District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
359,369666,357312,350682,547,38194,340,146377,14137,Jharkhand,Latehar,23.72511185840708,84.48298743362837
362,668514,652928,672409,1323,62110,1193,303697,23281,Jharkhand,Dumka,24.275006125574265,87.27662450229711
363,404830,386212,426312,540,49419,808,165555,20113,Jharkhand,Jamtara,23.97873318077801,86.95325080091534
364,1494937,1419316,1911433,3805,350908,22538,420740,310242,Jharkhand,Ranchi,23.184235061391547,85.31781937244203
366,514390,510823,559720,849,31687,831,216629,16445,Jharkhand,Gumla,23.078532948929148,84.55056787479396
367,300309,299269,343483,496,16865,423,144169,11114,Jharkhand,Simdega,22.608760391198054,84.59193691931536
371,296690,282815,405879,870,81433,2498,103224,73962,Orissa,Jharsuguda,21.827058566978184,83.93581682242987
372,526877,514222,703691,1548,126498,5231,220697,94798,Orissa,Sambalpur,21.515752380952385,84.34958483245157
374,1061147,1032290,1342322,3130,223537,12787,387911,230151,Orissa,Sundargarh,22.06354819277107,84.50524819277099
376,1256213,1263525,1369397,2747,140189,2950,689110,64479,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231
377,1185787,1134742,1621232,2664,296834,7370,601154,82440,Orissa,Baleshwar,21.48570932311624,87.08085828011933
378,760260,746077,1094140,1711,164636,2637,373862,54244,Orissa,Bhadrak,20.95262735257214,86.81496204516931
379,717814,722547,1089265,1540,173107,1628,414749,23494,Orissa,Kendrapara,20.606319815982264,86.83763247572003
381,1352760,1271710,2011469,3852,349587,15046,579529,210768,Orissa,Cuttack,20.407640646029623,85.7776810228802
383,612593,580218,829910,1334,117172,1810,315390,36979,Orissa,Dhenkanal,20.79887159353349,85.53226836027711
385,502636,460153,688362,984,124984,1163,261646,26688,Orissa,Nayagarh,20.192895622119817,85.05614700460825
386,1167137,1084536,1749936,4186,349860,35701,331834,356895,Orissa,Khordha,20.054162322274863,85.52234834123229
387,865380,833350,1291939,2027,201605,3416,402014,72210,Orissa,Puri,19.83509174603177,85.86698989898981
388,1779218,1749813,2210050,4377,405298,9049,795476,219918,Orissa,Ganjam,19.2632617564534,84.80297710437702
389,282882,294935,262537,617,63112,635,152095,23050,Orissa,Gajapati,19.121080882352945,84.14015091911759
390,359945,373165,399786,739,28736,768,218446,24489,Orissa,Kandhamal,20.092878624813142,84.02216352765326
394,301962,308420,299383,205,43976,757,197258,11869,Orissa,Nuapada,20.471309512195116,82.59152536585364
395,787101,789768,802036,1562,91171,1953,456336,38412,Orissa,Kalahandi,19.784253092783523,83.1124043814433
396,471960,495951,407735,1074,61543,1553,237343,49205,Orissa,Rayagada,19.292840020060204,83.45860120361095
398,678809,700838,568090,1519,85766,3988,381789,78339,Orissa,Koraput,18.82627794779476,82.81278469846964
399,303624,309568,244706,564,24604,448,167884,15839,Orissa,Malkangiri,18.25227930367506,81.98293636363628
400,334737,324180,397823,852,80023,1667,121852,59763,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635
401,1193129,1166757,1187941,2462,253131,2737,525596,65167,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531
402,424747,426922,495415,856,76783,567,205670,20722,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848
403,750278,743706,951639,1575,297308,3342,354278,66638,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134
403,750278,743706,951639,1575,297308,3342,354278,66638,Maharashtra,Raigarh,18.453257637845976,73.0090609418579
520,1344345,1289855,1939994,6097,547206,38570,581868,377160,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134
520,1344345,1289855,1939994,6097,547206,38570,581868,377160,Maharashtra,Raigarh,18.453257637845976,73.0090609418579
404,612915,593725,748759,1565,202380,4544,206598,126055,Chhattisgarh,Korba,22.491712499999995,82.57604326923074
409,1682101,1661771,2303378,4209,614109,16141,533448,349741,Chhattisgarh,Durg,21.194463849287164,81.33181639511197
410,2048186,2015686,2629749,4561,728556,20261,673499,395001,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388
411,511967,520787,637963,964,212487,961,274793,35774,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384
412,397897,401884,546833,782,148926,1016,168689,41792,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348
414,698487,714712,650863,1529,157646,1782,316425,54894,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546
417,128663,126567,86919,1387,12516,117,50449,7942,Karnataka,Bijapur,16.84015316666667,75.95909166666665
557,1111022,1066309,1248268,2938,326594,4987,396449,131041,Karnataka,Bijapur,16.84015316666667,75.95909166666665
418,361784,326077,328025,693,74770,273,150146,26376,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484
419,1068417,897553,1179685,1924,131486,1781,319298,95288,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
420,926843,776162,1094917,1786,107819,1166,271211,88385,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
421,1090327,941709,1357210,2830,306859,15779,172720,272172,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713
422,420157,366597,491445,951,97696,616,160453,43401,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574
423,919795,806255,900846,1827,148128,1852,367859,66759,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549
424,760355,684811,747940,1591,132725,1090,322772,60220,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428
425,936121,826254,943033,1947,176056,1880,375869,95048,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374
426,533480,483040,552559,1034,76097,653,256744,32179,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752
427,1256257,1122201,1545719,2771,366494,4546,448408,165507,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273
428,661873,602346,747715,1359,187731,1432,303387,66514,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588
429,1157495,1071440,1371781,2641,294702,3754,461831,114173,Madhya Pradesh,Satna,24.62777621776502,80.75547048710598
